Number_of_Cycles,PDF_of_Failure_at_x,CDF_of_Failure_at_x,Survival_at_x,Hazard_at_x,Cumulative_Hazard_at_x,Filter
3372.83,0.009380144,63.21205588,36.78794412,0.275790453,1169904.624,0
50,0.044766966,2.637831352,97.36216865,0.497327702,31274.43212,1
300,0.031580718,11.73353226,88.26646774,0.386991544,146015.6842,2
550,0.026636853,18.95794129,81.04205871,0.355506606,245916.2014,3
800,0.02333414,25.18284634,74.81715366,0.337338456,339416.2396,4
1050,0.02080946,30.68869122,69.31130878,0.324737131,428842.7043,0
1300,0.018757614,35.6266022,64.3733978,0.315171096,515307.5574,1
1550,0.017031144,40.09445261,59.90554739,0.307504881,599460.3863,2
1800,0.015545814,44.16218894,55.83781106,0.301134352,681725.5692,3
2050,0.014248118,47.88295064,52.11704936,0.29570108,762401.1616,4
2300,0.013101496,51.29880999,48.70119001,0.290975588,841707.4434,0
2550,0.012079598,54.44407458,45.55592542,0.28680243,919813.5097,1
2800,0.011162647,57.34734236,42.65265764,0.283071618,996853.0357,2
3050,0.01033533,60.03285893,39.96714107,0.279702581,1072934.205,3
3300,0.009585482,62.52145669,37.47854331,0.276634601,1148146.264,4
3550,0.008903247,64.83122971,35.16877029,0.27382083,1222564.026,0
3800,0.008280498,66.9780338,33.0219662,0.271224394,1296251.052,1
4050,0.00771044,68.97586673,31.02413327,0.268815773,1369261.978,2
4300,0.007187327,70.83716365,29.16283635,0.266570979,1441644.238,3
4550,0.006706245,72.57303097,27.42696903,0.264470268,1513439.379,4
4800,0.00626296,74.19343452,25.80656548,0.262497202,1584684.073,0
5050,0.005853792,75.7073529,24.2926471,0.260637954,1655410.913,1
5300,0.005475522,77.1229042,22.8770958,0.258880793,1725649.05,2
5550,0.005125318,78.44745167,21.55254833,0.257215676,1795424.695,3
5800,0.004800678,79.68769277,20.31230723,0.255633951,1864761.539,4
6050,0.004499376,80.84973477,19.15026523,0.254128105,1933681.094,0
6300,0.004219427,81.93915953,18.06084047,0.252691582,2002202.97,1
6550,0.003959055,82.96107924,17.03892076,0.251318622,2070345.119,2
6800,0.003716662,83.9201848,16.0798152,0.250004142,2138124.026,3
7050,0.003490808,84.82078799,15.17921201,0.248743634,2205554.884,4
7300,0.003280193,85.66685839,14.33314161,0.247533083,2272651.733,0
7550,0.003083638,86.46205589,13.53794411,0.246368896,2339427.589,1
7800,0.002900071,87.20975945,12.79024055,0.245247849,2405894.543,2
8050,0.002728519,87.91309253,12.08690747,0.244167034,2472063.862,3
8300,0.002568092,88.57494587,11.42505413,0.243123824,2537946.064,4
8550,0.002417977,89.19799767,10.80200233,0.242115835,2603550.989,0
8800,0.002277432,89.78473181,10.21526819,0.2411409,2668887.864,1
9050,0.002145774,90.33745414,9.662545861,0.240197039,2733965.355,2
9300,0.002022378,90.85830715,9.141692846,0.239282445,2798791.618,3
9550,0.001906667,91.34928328,8.650716721,0.238395459,2863374.338,4
9800,0.001798112,91.81223686,8.187763143,0.237534557,2927720.771,0
10050,0.001696226,92.24889502,7.751104976,0.236698335,2991837.779,1
10300,0.001600555,92.66086759,7.339132406,0.235885497,3055731.858,2
10550,0.001510686,93.04965605,6.95034395,0.235094845,3119409.167,3
10800,0.001426232,93.41666174,6.583338259,0.23432527,3182875.553,4
11050,0.001346836,93.76319337,6.236806634,0.233575739,3246136.574,0
11300,0.001272169,94.09047382,5.909526181,0.232845296,3309197.52,1
11550,0.001201925,94.39964645,5.600353545,0.232133048,3372063.43,2
11800,0.001135818,94.69178084,5.308219165,0.231438161,3434739.109,3
12050,0.001073584,94.96787801,5.032121993,0.230759859,3497229.146,4
12300,0.001014979,95.22887535,4.771124652,0.230097413,3559537.926,0
12550,0.000959774,95.47565104,4.524348964,0.229450141,3621669.644,1
12800,0.000907757,95.70902815,4.290971846,0.228817405,3683628.316,2
13050,0.000858728,95.92977849,4.070221513,0.228198602,3745417.789,3
13300,0.000812505,96.13862602,3.861373982,0.227593168,3807041.754,4
13550,0.000768914,96.33625017,3.663749833,0.227000571,3868503.754,0
13800,0.000727795,96.52328878,3.476711221,0.226420309,3929807.192,1
14050,0.000688997,96.70034089,3.299659107,0.225851909,3990955.337,2
14300,0.000652382,96.8679693,3.132030695,0.225294923,4051951.338,3
14550,0.000617818,97.02670295,2.973297051,0.22474893,4112798.221,4
14800,0.000585183,97.1770391,2.8229609,0.224213527,4173498.906,0
15050,0.000554361,97.31944542,2.680554576,0.223688337,4234056.205,1
15300,0.000525246,97.45436188,2.545638122,0.223173,4294472.829,2
15550,0.000497738,97.58220248,2.417797522,0.222667173,4354751.396,3
15800,0.000471742,97.70335695,2.296643051,0.222170534,4414894.435,4
16050,0.000447171,97.81819225,2.181807747,0.221682773,4474904.387,0
16300,0.000423941,97.92705401,2.072945986,0.221203598,4534783.613,1
16550,0.000401975,98.03026785,1.969732148,0.220732728,4594534.397,2
16800,0.0003812,98.12814062,1.871859382,0.220269899,4654158.947,3
17050,0.000361549,98.22096155,1.779038449,0.219814855,4713659.405,4
17300,0.000342957,98.30900336,1.690996641,0.219367354,4773037.841,0
17550,0.000325364,98.39252322,1.607476775,0.218927166,4832296.264,1
17800,0.000308713,98.47176375,1.528236252,0.218494068,4891436.622,2
18050,0.000292952,98.54695382,1.453046176,0.21806785,4950460.803,3
18300,0.000278029,98.61830947,1.38169053,0.21764831,5009370.639,4
18550,0.0002639,98.68603459,1.313965411,0.217235253,5068167.91,0
18800,0.000250518,98.7503217,1.249678305,0.216828493,5126854.344,1
19050,0.000237843,98.81135259,1.188647413,0.216427854,5185431.62,2
19300,0.000225836,98.86929898,1.130701023,0.216033165,5243901.369,3
19550,0.000214459,98.92432309,1.075676914,0.215644261,5302265.177,4
19800,0.000203678,98.9765782,1.023421804,0.215260986,5360524.588,0
20050,0.000193461,99.02620917,0.973790829,0.214883188,5418681.104,1
20300,0.000183776,99.07335295,0.926647054,0.214510723,5476736.185,2
20550,0.000174594,99.11813898,0.881861018,0.21414345,5534691.255,3
20800,0.000165889,99.1606897,0.839310301,0.213781236,5592547.699,4
21050,0.000157634,99.20112088,0.798879123,0.213423952,5650306.868,0
21300,0.000149805,99.23954204,0.760457964,0.213071472,5707970.077,1
21550,0.000142379,99.27605679,0.72394321,0.212723678,5765538.611,2
21800,0.000135334,99.31076318,0.689236815,0.212380453,5823013.719,3
22050,0.000128651,99.34375401,0.656245992,0.212041686,5880396.623,4
22300,0.000122309,99.37511709,0.624882909,0.211707269,5937688.512,0
22550,0.000116291,99.40493558,0.595064421,0.2113771,5994890.551,1
22800,0.000110579,99.4332882,0.5667118,0.211051077,6052003.872,2
23050,0.000105158,99.46024951,0.539750495,0.210729104,6109029.585,3
23300,0.000100011,99.4858901,0.514109896,0.210411088,6165968.772,4
23550,9.51E-05,99.51027688,0.489723117,0.210096938,6222822.49,0
23800,9.05E-05,99.53347321,0.466526793,0.209786568,6279591.774,1
24050,8.61E-05,99.55553912,0.444460884,0.209479891,6336277.633,2
24300,8.19E-05,99.57653151,0.423468493,0.209176828,6392881.055,3
24550,7.79E-05,99.59650431,0.403495694,0.208877298,6449403.007,4
24800,7.41E-05,99.61550863,0.384491371,0.208581226,6505844.434,0
25050,7.06E-05,99.63359293,0.366407066,0.208288537,6562206.26,1
25300,6.72E-05,99.65080317,0.349196834,0.207999159,6618489.39,2
25550,6.39E-05,99.6671829,0.332817105,0.207713022,6674694.712,3
25800,6.08E-05,99.68277344,0.31722656,0.20743006,6730823.09,4
26050,5.79E-05,99.69761399,0.302386009,0.207150206,6786875.377,0
26300,5.51E-05,99.71174173,0.288258275,0.206873397,6842852.402,1
26550,5.25E-05,99.72519191,0.274808087,0.206599572,6898754.981,2
26800,5.00E-05,99.73799802,0.26200198,0.206328671,6954583.914,3
27050,4.76E-05,99.7501918,0.249808199,0.206060635,7010339.981,4
27300,4.53E-05,99.7618034,0.238196604,0.205795408,7066023.952,0
27550,4.32E-05,99.77286141,0.227138592,0.205532936,7121636.578,1
27800,4.11E-05,99.78339299,0.216607008,0.205273166,7177178.596,2
28050,3.92E-05,99.79342393,0.206576074,0.205016044,7232650.73,3
28300,3.73E-05,99.80297868,0.197021315,0.204761523,7288053.69,4
28550,3.55E-05,99.81208051,0.187919492,0.204509551,7343388.171,0
28800,3.39E-05,99.82075147,0.179248534,0.204260082,7398654.858,1
29050,3.23E-05,99.82901252,0.170987481,0.20401307,7453854.42,2
29300,3.07E-05,99.83688358,0.163116423,0.20376847,7508987.516,3
29550,2.93E-05,99.84438355,0.155616448,0.203526237,7564054.792,4
29800,2.79E-05,99.85153041,0.148469589,0.203286329,7619056.882,0
30050,2.66E-05,99.85834123,0.141658774,0.203048705,7673994.409,1
30300,2.53E-05,99.86483222,0.135167784,0.202813324,7728867.986,2
30550,2.42E-05,99.8710188,0.128981204,0.202580147,7783678.213,3
30800,2.30E-05,99.87691562,0.123084383,0.202349134,7838425.681,4
31050,2.20E-05,99.8825366,0.117463399,0.20212025,7893110.971,0
31300,2.09E-05,99.88789498,0.112105016,0.201893457,7947734.653,1
31550,1.99E-05,99.89300335,0.106996652,0.201668719,8002297.287,2
31800,1.90E-05,99.89787366,0.102126345,0.201446003,8056799.425,3
32050,1.81E-05,99.90251728,0.097482721,0.201225274,8111241.609,4
32300,1.73E-05,99.90694503,0.093054967,0.201006498,8165624.372,0
32550,1.65E-05,99.9111672,0.088832798,0.200789645,8219948.237,1
32800,1.57E-05,99.91519357,0.084806432,0.200574682,8274213.72,2
33050,1.50E-05,99.91903343,0.080966567,0.200361579,8328421.329,3
33300,1.43E-05,99.92269564,0.077304355,0.200150306,8382571.561,4
33550,1.36E-05,99.92618862,0.073811378,0.199940833,8436664.907,0
33800,1.30E-05,99.92952037,0.070479629,0.199733132,8490701.852,1
34050,1.24E-05,99.93269851,0.067301487,0.199527176,8544682.869,2
34300,1.18E-05,99.9357303,0.064269704,0.199322935,8598608.427,3
34550,1.13E-05,99.93862262,0.061377381,0.199120385,8652478.987,4
34800,1.08E-05,99.94138205,0.058617954,0.198919499,8706295.002,0
35050,1.03E-05,99.94401482,0.055985176,0.198720251,8760056.918,1
35300,9.81E-06,99.9465269,0.053473099,0.198522617,8813765.175,2
35550,9.37E-06,99.94892394,0.051076064,0.198326573,8867420.206,3
35800,8.94E-06,99.95121132,0.048788682,0.198132093,8921022.438,4
36050,8.53E-06,99.95339418,0.046605824,0.197939156,8974572.291,0
36300,8.14E-06,99.95547739,0.044522608,0.197747738,9028070.178,1
36550,7.77E-06,99.95746562,0.042534383,0.197557817,9081516.508,2
36800,7.42E-06,99.95936328,0.040636722,0.197369371,9134911.682,3
37050,7.08E-06,99.96117459,0.038825409,0.197182379,9188256.096,4
37300,6.76E-06,99.96290357,0.037096429,0.19699682,9241550.141,0
37550,6.45E-06,99.96455404,0.035445959,0.196812673,9294794.201,1
37800,6.16E-06,99.96612964,0.033870357,0.196629919,9347988.655,2
38050,5.88E-06,99.96763385,0.032366154,0.196448537,9401133.878,3
38300,5.61E-06,99.96906996,0.030930045,0.196268509,9454230.238,4
38550,5.36E-06,99.97044112,0.029558883,0.196089815,9507278.098,0
38800,5.12E-06,99.97175033,0.028249668,0.195912438,9560277.816,1
39050,4.89E-06,99.97300046,0.026999543,0.195736359,9613229.747,2
39300,4.67E-06,99.97419421,0.025805786,0.195561561,9666134.239,3
39550,4.46E-06,99.9753342,0.024665803,0.195388025,9718991.635,4
39800,4.26E-06,99.97642288,0.023577122,0.195215735,9771802.275,0
40050,4.06E-06,99.97746261,0.022537386,0.195044675,9824566.494,1
40300,3.88E-06,99.97845565,0.02154435,0.194874828,9877284.622,2
40550,3.71E-06,99.97940412,0.020595875,0.194706178,9929956.984,3
40800,3.54E-06,99.98031008,0.019689921,0.194538709,9982583.902,4
41050,3.38E-06,99.98117546,0.018824544,0.194372405,10035165.69,0
41300,3.23E-06,99.98200211,0.017997889,0.194207252,10087702.67,1
41550,3.09E-06,99.98279181,0.01720819,0.194043235,10140195.15,2
41800,2.95E-06,99.98354624,0.016453763,0.19388034,10192643.42,3
42050,2.82E-06,99.984267,0.015733001,0.193718551,10245047.8,4
42300,2.69E-06,99.98495563,0.015044373,0.193557855,10297408.57,0
42550,2.57E-06,99.98561358,0.014386419,0.193398238,10349726.04,1
42800,2.46E-06,99.98624225,0.013757745,0.193239686,10402000.5,2
43050,2.35E-06,99.98684298,0.013157025,0.193082187,10454232.22,3
43300,2.24E-06,99.98741701,0.012582991,0.192925727,10506421.49,4
43550,2.14E-06,99.98796556,0.012034435,0.192770294,10558568.6,0
43800,2.05E-06,99.98848979,0.011510206,0.192615874,10610673.81,1
44050,1.96E-06,99.9889908,0.011009205,0.192462456,10662737.4,2
44300,1.87E-06,99.98946962,0.010530382,0.192310027,10714759.65,3
44550,1.79E-06,99.98992726,0.010072739,0.192158576,10766740.8,4
44800,1.71E-06,99.99036468,0.009635321,0.192008091,10818681.14,0
45050,1.63E-06,99.99078278,0.009217218,0.19185856,10870580.91,1
45300,1.56E-06,99.99118244,0.008817561,0.191709972,10922440.37,2
45550,1.49E-06,99.99156448,0.008435522,0.191562315,10974259.79,3
45800,1.43E-06,99.99192969,0.00807031,0.19141558,11026039.4,4
46050,1.37E-06,99.99227883,0.007721171,0.191269755,11077779.45,0
46300,1.31E-06,99.99261262,0.007387384,0.19112483,11129480.2,1
46550,1.25E-06,99.99293174,0.007068264,0.190980794,11181141.87,2
46800,1.19E-06,99.99323685,0.006763153,0.190837638,11232764.72,3
47050,1.14E-06,99.99352857,0.006471426,0.19069535,11284348.98,4
47300,1.09E-06,99.99380751,0.006192486,0.190553922,11335894.88,0
47550,1.04E-06,99.99407424,0.005925762,0.190413343,11387402.65,1
47800,9.98E-07,99.99432929,0.00567071,0.190273605,11438872.52,2
48050,9.54E-07,99.99457319,0.00542681,0.190134697,11490304.71,3
48300,9.12E-07,99.99480643,0.005193568,0.18999661,11541699.46,4
48550,8.72E-07,99.99502949,0.004970508,0.189859336,11593056.98,0
48800,8.34E-07,99.99524282,0.004757178,0.189722866,11644377.48,1
49050,7.98E-07,99.99544685,0.004553148,0.18958719,11695661.19,2
49300,7.63E-07,99.995642,0.004358005,0.1894523,11746908.32,3
49550,7.30E-07,99.99582865,0.004171355,0.189318188,11798119.08,4
49800,6.98E-07,99.99600718,0.003992823,0.189184845,11849293.68,0
50050,6.68E-07,99.99617795,0.003822049,0.189052263,11900432.33,1
50300,6.39E-07,99.99634131,0.003658691,0.188920433,11951535.23,2
50550,6.11E-07,99.99649758,0.003502421,0.188789349,12002602.58,3
50800,5.85E-07,99.99664707,0.003352927,0.188659001,12053634.58,4
51050,5.59E-07,99.99679009,0.003209911,0.188529383,12104631.44,0
51300,5.35E-07,99.99692691,0.003073087,0.188400487,12155593.35,1
51550,5.12E-07,99.99705782,0.002942182,0.188272304,12206520.5,2
51800,4.90E-07,99.99718306,0.002816937,0.188144828,12257413.08,3
52050,4.69E-07,99.9973029,0.002697102,0.188018052,12308271.28,4
52300,4.49E-07,99.99741756,0.002582441,0.187891968,12359095.3,0
52550,4.29E-07,99.99752727,0.002472726,0.187766569,12409885.32,1
52800,4.11E-07,99.99763226,0.002367741,0.187641848,12460641.53,2
53050,3.93E-07,99.99773272,0.002267278,0.187517799,12511364.09,3
53300,3.76E-07,99.99782886,0.00217114,0.187394414,12562053.21,4
53550,3.60E-07,99.99792086,0.002079138,0.187271688,12612709.05,0
53800,3.45E-07,99.99800891,0.001991091,0.187149613,12663331.79,1
54050,3.30E-07,99.99809317,0.001906826,0.187028182,12713921.61,2
54300,3.16E-07,99.99817382,0.001826178,0.186907391,12764478.68,3
54550,3.02E-07,99.99825101,0.00174899,0.186787232,12815003.17,4
54800,2.89E-07,99.99832489,0.001675111,0.186667699,12865495.26,0
55050,2.77E-07,99.9983956,0.001604396,0.186548786,12915955.11,1
55300,2.65E-07,99.99846329,0.00153671,0.186430486,12966382.88,2
55550,2.54E-07,99.99852808,0.001471918,0.186312796,13016778.75,3
55800,2.43E-07,99.9985901,0.001409897,0.186195707,13067142.88,4
56050,2.32E-07,99.99864947,0.001350526,0.186079215,13117475.43,0
56300,2.22E-07,99.99870631,0.001293689,0.185963314,13167776.56,1
56550,2.13E-07,99.99876072,0.001239278,0.185847997,13218046.42,2
56800,2.04E-07,99.99881281,0.001187187,0.185733261,13268285.18,3
57050,1.95E-07,99.99886269,0.001137315,0.185619099,13318493,4
57300,1.87E-07,99.99891043,0.001089567,0.185505506,13368670.02,0
57550,1.79E-07,99.99895615,0.001043851,0.185392476,13418816.4,1
57800,1.71E-07,99.99899992,0.001000079,0.185280005,13468932.3,2
58050,1.64E-07,99.99904183,0.000958168,0.185168087,13519017.85,3
58300,1.57E-07,99.99908196,0.000918036,0.185056717,13569073.22,4
58550,1.50E-07,99.99912039,0.000879608,0.18494589,13619098.54,0
58800,1.44E-07,99.99915719,0.00084281,0.184835602,13669093.97,1
59050,1.38E-07,99.99919243,0.000807572,0.184725846,13719059.65,2
59300,1.32E-07,99.99922617,0.000773827,0.184616619,13768995.72,3
59550,1.26E-07,99.99925849,0.000741511,0.184507916,13818902.33,4
59800,1.21E-07,99.99928944,0.000710562,0.184399732,13868779.62,0
60050,1.16E-07,99.99931908,0.000680922,0.184292062,13918627.72,1
60300,1.11E-07,99.99934747,0.000652535,0.184184902,13968446.77,2
60550,1.06E-07,99.99937465,0.000625346,0.184078247,14018236.92,3
60800,1.02E-07,99.9994007,0.000599305,0.183972093,14067998.29,4
61050,9.76E-08,99.99942564,0.000574362,0.183866436,14117731.03,0
61300,9.35E-08,99.99944953,0.000550471,0.18376127,14167435.26,1
61550,8.96E-08,99.99947241,0.000527587,0.183656593,14217111.13,2
61800,8.58E-08,99.99949433,0.000505666,0.183552399,14266758.75,3
62050,8.22E-08,99.99951533,0.000484667,0.183448684,14316378.26,4
62300,7.87E-08,99.99953545,0.000464552,0.183345445,14365969.79,0
62550,7.54E-08,99.99955472,0.000445282,0.183242677,14415533.47,1
62800,7.23E-08,99.99957318,0.000426821,0.183140376,14465069.43,2
63050,6.92E-08,99.99959086,0.000409136,0.183038538,14514577.78,3
63300,6.63E-08,99.99960781,0.000392192,0.18293716,14564058.66,4
63550,6.36E-08,99.99962404,0.000375959,0.182836237,14613512.18,0
63800,6.09E-08,99.99963959,0.000360407,0.182735765,14662938.48,1
64050,5.83E-08,99.99965449,0.000345505,0.182635742,14712337.67,2
64300,5.59E-08,99.99966877,0.000331228,0.182536162,14761709.88,3
64550,5.36E-08,99.99968245,0.000317547,0.182437023,14811055.21,4
64800,5.13E-08,99.99969556,0.000304439,0.182338321,14860373.8,0
65050,4.92E-08,99.99970812,0.000291879,0.182240051,14909665.76,1
65300,4.71E-08,99.99972016,0.000279843,0.182142212,14958931.2,2
65550,4.52E-08,99.99973169,0.000268309,0.182044798,15008170.24,3
65800,4.33E-08,99.99974274,0.000257256,0.181947807,15057383,4
66050,4.15E-08,99.99975334,0.000246665,0.181851236,15106569.59,0
66300,3.97E-08,99.99976349,0.000236514,0.18175508,15155730.12,1
66550,3.81E-08,99.99977321,0.000226787,0.181659336,15204864.71,2
66800,3.65E-08,99.99978254,0.000217464,0.181564002,15253973.46,3
67050,3.50E-08,99.99979147,0.000208529,0.181469073,15303056.49,4
67300,3.35E-08,99.99980003,0.000199966,0.181374548,15352113.91,0
67550,3.21E-08,99.99980824,0.000191758,0.181280421,15401145.81,1
67800,3.08E-08,99.99981611,0.000183891,0.181186691,15450152.32,2
68050,2.95E-08,99.99982365,0.000176351,0.181093354,15499133.54,3
68300,2.83E-08,99.99983088,0.000169124,0.181000408,15548089.57,4
68550,2.71E-08,99.9998378,0.000162196,0.180907848,15597020.52,0
68800,2.60E-08,99.99984444,0.000155556,0.180815672,15645926.5,1
69050,2.49E-08,99.99985081,0.00014919,0.180723877,15694807.6,2
69300,2.39E-08,99.99985691,0.000143088,0.180632461,15743663.93,3
69550,2.29E-08,99.99986276,0.000137239,0.180541419,15792495.59,4
69800,2.20E-08,99.99986837,0.000131631,0.18045075,15841302.68,0
70050,2.11E-08,99.99987374,0.000126255,0.180360451,15890085.31,1
70300,2.02E-08,99.9998789,0.000121101,0.180270518,15938843.57,2
70550,1.94E-08,99.99988384,0.00011616,0.180180948,15987577.56,3
70800,1.86E-08,99.99988858,0.000111423,0.18009174,16036287.38,4
71050,1.78E-08,99.99989312,0.000106881,0.180002891,16084973.12,0
71300,1.71E-08,99.99989747,0.000102527,0.179914397,16133634.89,1